Date,Index,VaR95_exc,VaR99_exc,Severity95
2001-11-19,IBEX,0,0,
2001-11-20,IBEX,0,0,
2001-11-21,IBEX,0,0,
2001-11-22,IBEX,0,0,
2001-11-23,IBEX,0,0,
2001-11-26,IBEX,0,0,
2001-11-27,IBEX,0,0,
2001-11-28,IBEX,0,0,
2001-11-29,IBEX,0,0,
2001-11-30,IBEX,0,0,
2001-12-03,IBEX,0,0,
2001-12-04,IBEX,0,0,
2001-12-05,IBEX,0,0,
2001-12-06,IBEX,0,0,
2001-12-07,IBEX,0,0,
2001-12-10,IBEX,0,0,
2001-12-11,IBEX,0,0,
2001-12-12,IBEX,0,0,
2001-12-13,IBEX,1,0,-0.029194016411746126
2001-12-14,IBEX,0,0,
2001-12-17,IBEX,0,0,
2001-12-18,IBEX,0,0,
2001-12-19,IBEX,0,0,
2001-12-20,IBEX,0,0,
2001-12-21,IBEX,0,0,
2001-12-24,IBEX,0,0,
2001-12-25,IBEX,0,0,
2001-12-26,IBEX,0,0,
2001-12-27,IBEX,0,0,
2001-12-28,IBEX,0,0,
2001-12-31,IBEX,0,0,
2002-01-01,IBEX,0,0,
2002-01-02,IBEX,0,0,
2002-01-03,IBEX,0,0,
2002-01-04,IBEX,0,0,
2002-01-07,IBEX,1,1,-1.2727997485829992
2002-01-08,IBEX,0,0,
2002-01-09,IBEX,0,0,
2002-01-10,IBEX,0,0,
2002-01-11,IBEX,0,0,
2002-01-14,IBEX,1,0,-0.006073053971262787
2002-01-15,IBEX,0,0,
2002-01-16,IBEX,0,0,
2002-01-17,IBEX,0,0,
2002-01-18,IBEX,0,0,
2002-01-21,IBEX,0,0,
2002-01-22,IBEX,0,0,
2002-01-23,IBEX,0,0,
2002-01-24,IBEX,0,0,
2002-01-25,IBEX,0,0,
2002-01-28,IBEX,0,0,
2002-01-29,IBEX,0,0,
2002-01-30,IBEX,0,0,
2002-01-31,IBEX,0,0,
2002-02-01,IBEX,0,0,
2002-02-04,IBEX,0,0,
2002-02-05,IBEX,0,0,
2002-02-06,IBEX,0,0,
2002-02-07,IBEX,0,0,
2002-02-08,IBEX,0,0,
2002-02-11,IBEX,0,0,
2002-02-12,IBEX,0,0,
2002-02-13,IBEX,0,0,
2002-02-14,IBEX,0,0,
2002-02-15,IBEX,0,0,
2002-02-18,IBEX,0,0,
2002-02-19,IBEX,0,0,
2002-02-20,IBEX,0,0,
2002-02-21,IBEX,0,0,
2002-02-22,IBEX,0,0,
2002-02-25,IBEX,0,0,
2002-02-26,IBEX,0,0,
