Date,Index,Drawdown
2001-12-26,IBEX,-0.3917483632434573
2001-12-27,IBEX,-0.38083432299361475
2001-12-28,IBEX,-0.38357846978091004
2001-12-31,IBEX,-0.38357846978091004
2002-01-01,IBEX,-0.38357846978091004
2002-01-02,IBEX,-0.3850851031622252
2002-01-03,IBEX,-0.3721847185530881
2002-01-04,IBEX,-0.37894339042664626
2002-01-07,IBEX,-0.40027883897200334
2002-01-08,IBEX,-0.3995971446583563
2002-01-09,IBEX,-0.4085002737146798
2002-01-10,IBEX,-0.4181631975773834
2002-01-11,IBEX,-0.4146762413723102
2002-01-14,IBEX,-0.4282350389899561
2002-01-15,IBEX,-0.41745940381758895
2002-01-16,IBEX,-0.4281543755181373
2002-01-17,IBEX,-0.4155876158254904
2002-01-18,IBEX,-0.41329915181881915
2002-01-21,IBEX,-0.42113847241396496
2002-01-22,IBEX,-0.41165017476720234
2002-01-23,IBEX,-0.4083489921183684
2002-01-24,IBEX,-0.3985433854116741
2002-01-25,IBEX,-0.4006193135114704
2002-01-28,IBEX,-0.3942023550373762
2002-01-29,IBEX,-0.4011767049311511
2002-01-30,IBEX,-0.41291094774126413
2002-01-31,IBEX,-0.410667837575034
2002-02-01,IBEX,-0.4018975151385512
2002-02-04,IBEX,-0.4134864379584574
2002-02-05,IBEX,-0.4254336806204426
2002-02-06,IBEX,-0.436112414275731
2002-02-07,IBEX,-0.4242193238737543
2002-02-08,IBEX,-0.42734352278557874
2002-02-11,IBEX,-0.4280826663113698
2002-02-12,IBEX,-0.4304205718081763
2002-02-13,IBEX,-0.4246428315304184
2002-02-14,IBEX,-0.41347476122838245
2002-02-15,IBEX,-0.4209067470693708
2002-02-18,IBEX,-0.42737680795384236
2002-02-19,IBEX,-0.4365000574463175
2002-02-20,IBEX,-0.4359301781179383
2002-02-21,IBEX,-0.43446276728440036
2002-02-22,IBEX,-0.43990558857977624
2002-02-25,IBEX,-0.43172758891817875
2002-02-26,IBEX,-0.4264966583808042
2002-02-27,IBEX,-0.40819871766815785
2002-02-28,IBEX,-0.405712955983879
2002-03-01,IBEX,-0.3987991153860265
2002-03-04,IBEX,-0.3876328156978809
2002-03-05,IBEX,-0.3933411635416132
2002-03-06,IBEX,-0.3923706800481208
2002-03-07,IBEX,-0.3878814588720022
2002-03-08,IBEX,-0.3887949661200931
2002-03-11,IBEX,-0.39258945248174626
2002-03-12,IBEX,-0.39934514381778863
2002-03-13,IBEX,-0.40131262996590766
2002-03-14,IBEX,-0.39736074963068313
2002-03-15,IBEX,-0.392596945496573
2002-03-18,IBEX,-0.38708014835437154
2002-03-19,IBEX,-0.3815127591744484
2002-03-20,IBEX,-0.3874697647724614
2002-03-21,IBEX,-0.39154972143022937
2002-03-22,IBEX,-0.39070348345445416
2002-03-25,IBEX,-0.40389852376139745
2002-03-26,IBEX,-0.4071186478635479
2002-03-27,IBEX,-0.40458416545833376
2002-03-28,IBEX,-0.3979287436391651
2002-03-29,IBEX,-0.3979287436391651
2002-04-01,IBEX,-0.3979287436391651
2002-04-02,IBEX,-0.4014127460598841
2002-04-03,IBEX,-0.39893656029901137
2002-04-04,IBEX,-0.40416991480164777
2002-04-05,IBEX,-0.40377597944853594
2002-04-08,IBEX,-0.4181041983655569
2002-04-09,IBEX,-0.4135695284549751
2002-04-10,IBEX,-0.40923032539393744
2002-04-11,IBEX,-0.41857591299504593
2002-04-12,IBEX,-0.41449100052055365
2002-04-15,IBEX,-0.40799179249647477
2002-04-16,IBEX,-0.3909820425476661
2002-04-17,IBEX,-0.38805101746820125
2002-04-18,IBEX,-0.39139189130283036
2002-04-19,IBEX,-0.3861435792239215
2002-04-22,IBEX,-0.3903057631877216
2002-04-23,IBEX,-0.3907870612602867
2002-04-24,IBEX,-0.39311703259829855
2002-04-25,IBEX,-0.40444113213853683
2002-04-26,IBEX,-0.4036472103729538
2002-04-29,IBEX,-0.40625494870337486
2002-04-30,IBEX,-0.40566486382617584
2002-05-01,IBEX,-0.40566486382617584
2002-05-02,IBEX,-0.41347088943652677
2002-05-03,IBEX,-0.4155881957479489
2002-05-06,IBEX,-0.4209400133645689
2002-05-07,IBEX,-0.42351090439087635
2002-05-08,IBEX,-0.4107400747932851
2002-05-09,IBEX,-0.4141377040729137
2002-05-10,IBEX,-0.42474622108345983
2002-05-13,IBEX,-0.41743568822914134
2002-05-14,IBEX,-0.40980152822843974
2002-05-15,IBEX,-0.4055561782843994
2002-05-16,IBEX,-0.41097016596314506
2002-05-17,IBEX,-0.4107881270984527
2002-05-20,IBEX,-0.4174234635231715
2002-05-21,IBEX,-0.42107596097812794
2002-05-22,IBEX,-0.4278808345792018
2002-05-23,IBEX,-0.4246134786696133
2002-05-24,IBEX,-0.42112171286015565
2002-05-27,IBEX,-0.41801371958104905
2002-05-28,IBEX,-0.4229787351119544
2002-05-29,IBEX,-0.4214081841466205
2002-05-30,IBEX,-0.42813836368730906
2002-05-31,IBEX,-0.4212562579078517
2002-06-03,IBEX,-0.42492233047873484
2002-06-04,IBEX,-0.4421168274366142
2002-06-05,IBEX,-0.4456131625508337
2002-06-06,IBEX,-0.44864839776792764
2002-06-07,IBEX,-0.4557444734989159
2002-06-10,IBEX,-0.45556261470303994
2002-06-11,IBEX,-0.4504357429279082
2002-06-12,IBEX,-0.4626695918670848
2002-06-13,IBEX,-0.46933687542001423
