Date,Index,Return,VaR95,VaR99,Breach95,Breach99
2001-02-20,IBEX,-0.0111968411004072,-2.2550235547213906,-3.5390237673568388,0,0
2001-02-21,IBEX,-0.0091737598423763,-2.258086763519107,-3.5438311533891476,0,0
2001-02-22,IBEX,-0.0182321498317588,-2.2455044506096606,-3.524084528418592,0,0
2001-02-23,IBEX,-0.0078876614539347,-2.304032564907795,-3.6159382862766853,0,0
2001-02-26,IBEX,0.0139845350841216,-2.277970943941304,-3.5750372962080244,0,0
2001-02-27,IBEX,0.0081658106981352,-2.2903259167267978,-3.5944271346163026,0,0
2001-02-28,IBEX,-0.000282559632287,-2.2580189643857196,-3.5437247497358633,0,0
2001-03-01,IBEX,-0.0068602604700929,-2.179181295103352,-3.4199972681451936,0,0
2001-03-02,IBEX,0.0088997667930455,-2.1554473974607444,-3.382749396532793,0,0
2001-03-05,IBEX,0.0121710145247196,-2.139682485712193,-3.3580080153389726,0,0
2001-03-06,IBEX,0.0208381521608575,-2.1514861647353865,-3.3765326558101862,0,0
2001-03-07,IBEX,0.0031490913907068,-2.2328091852106233,-3.5041606363217546,0,0
2001-03-08,IBEX,-0.0126868048795377,-2.1672577456176745,-3.4012845035123287,0,0
2001-03-09,IBEX,-0.0073343623745032,-2.190666771960472,-3.438022523576194,0,0
2001-03-12,IBEX,-0.0241201249900874,-2.1696901342736967,-3.4051018832674487,0,0
2001-03-13,IBEX,0.0016942923617051,-2.2862615992154223,-3.5880486130967704,0,0
2001-03-14,IBEX,-0.0124738322504982,-2.2068394845936252,-3.4634039056338337,0,0
2001-03-15,IBEX,0.0088292022392728,-2.224500320009536,-3.491120740855987,0,0
2001-03-16,IBEX,-0.0198553919529408,-2.2024611333077373,-3.45653254092895,0,0
2001-03-19,IBEX,-0.0041744961450593,-2.279372301606423,-3.577236580589351,0,0
2001-03-20,IBEX,-0.0037469879194257,-2.2278128941175632,-3.4963194796784234,0,0
2001-03-21,IBEX,-0.0349882224912326,-2.17661580616882,-3.4159710014149907,0,0
2001-03-22,IBEX,-0.0422284889464973,-2.3842466413768326,-3.7418258950806553,0,0
2001-03-23,IBEX,0.0321438883338719,-2.6088268191956594,-4.094281010378221,0,0
2001-03-26,IBEX,0.0283002045028049,-2.7114315266994695,-4.25530837425582,0,0
2001-03-27,IBEX,0.0218158823884378,-2.7747258696192865,-4.354642229755233,0,0
2001-03-28,IBEX,-0.0108430155875164,-2.789540545467241,-4.377892315024553,0,0
2001-03-29,IBEX,0.0064613333026927,-2.7434178692669016,-4.30550759560761,0,0
2001-03-30,IBEX,0.0092278060803324,-2.666463360583676,-4.18473553774374,0,0
2001-04-02,IBEX,0.001717422264188,-2.612265359487531,-4.09967743995984,0,0
2001-04-03,IBEX,-0.0340889946758396,-2.51425420517803,-3.9458591776888468,0,0
2001-04-04,IBEX,0.0176641202117434,-2.653767862359774,-4.1648112802526125,0,0
2001-04-05,IBEX,0.0181286877042411,-2.654607671216666,-4.166129272474182,0,0
2001-04-06,IBEX,-0.0012641353110139,-2.6583731176176926,-4.17203874702492,0,0
