iteration,train_start,train_end,test_end,model,index,mae,rmse
31,2007-04-03,2016-11-28,2017-02-23,EGARCH,SPX,0.004661637433065433,0.005556639858647326
32,2007-06-29,2017-02-23,2017-05-23,EGARCH,SPX,0.005783710777707217,0.006879478886213282
33,2007-09-26,2017-05-23,2017-08-18,EGARCH,SPX,0.005494021162490493,0.0067472007903144815
34,2007-12-24,2017-08-18,2017-11-15,EGARCH,SPX,0.004090424688520841,0.004898391259806113
35,2008-03-20,2017-11-15,2018-02-12,EGARCH,SPX,0.006651083313532908,0.011833134896560385
36,2008-06-17,2018-02-12,2018-05-10,EGARCH,SPX,0.013654556887209493,0.016623264095372892
37,2008-09-12,2018-05-10,2018-08-07,EGARCH,SPX,0.00655989131062557,0.007943212729844799
38,2008-12-10,2018-08-07,2018-11-02,EGARCH,SPX,0.00972564137719095,0.013988659229089128
39,2009-03-09,2018-11-02,2019-01-30,EGARCH,SPX,0.01652592503785529,0.020185390153160877
40,2009-06-04,2019-01-30,2019-04-29,EGARCH,SPX,0.005791007973207353,0.007142408065983246
41,2009-09-01,2019-04-29,2019-07-25,EGARCH,SPX,0.008287002278382164,0.01063117486995237
42,2009-11-27,2019-07-25,2019-10-22,EGARCH,SPX,0.010667616948860176,0.014307844843974656
43,2010-02-24,2019-10-22,2020-01-17,EGARCH,SPX,0.004288468154887051,0.00520026118181681
44,2010-05-24,2020-01-17,2020-04-15,EGARCH,SPX,0.03196792520090882,0.04840787996557982
45,2010-08-19,2020-04-15,2020-07-13,EGARCH,SPX,0.015685107675880872,0.020344799085368622
46,2010-11-16,2020-07-13,2020-10-08,EGARCH,SPX,0.011287740125098205,0.01619268314852115
47,2011-02-11,2020-10-08,2021-01-05,EGARCH,SPX,0.009582216643118015,0.01261278452819368
48,2011-05-11,2021-01-05,2021-04-02,EGARCH,SPX,0.009529244660400345,0.01233130598072498
49,2011-08-08,2021-04-02,2021-06-30,EGARCH,SPX,0.0071436441861231275,0.009152582226880958
50,2011-11-03,2021-06-30,2021-09-27,EGARCH,SPX,0.006920147870123247,0.008754622818531196
51,2012-01-31,2021-09-27,2021-12-23,EGARCH,SPX,0.008774614945699031,0.012240903428226195
52,2012-04-27,2021-12-23,2022-03-22,EGARCH,SPX,0.015461196497652476,0.01894739272716123
53,2012-07-25,2022-03-22,2022-06-17,EGARCH,SPX,0.021032444528285905,0.0263860375182815
54,2012-10-22,2022-06-17,2022-09-14,EGARCH,SPX,0.014436355160761949,0.017728014651091476
55,2013-01-17,2022-09-14,2022-12-12,EGARCH,SPX,0.01868454172625089,0.02201542448700864
56,2013-04-16,2022-12-12,2023-03-09,EGARCH,SPX,0.012893333315533242,0.015457099174333666
57,2013-07-12,2023-03-09,2023-06-06,EGARCH,SPX,0.009450212314436796,0.011428137015240586
58,2013-10-09,2023-06-06,2023-09-01,EGARCH,SPX,0.007447750232049221,0.009145930748208051
59,2014-01-06,2023-09-01,2023-11-29,EGARCH,SPX,0.009986654832864568,0.01223083627827283
60,2014-04-03,2023-11-29,2024-02-26,EGARCH,SPX,0.006209901831258964,0.007811535569907694
61,2014-07-01,2024-02-26,2024-05-23,EGARCH,SPX,0.007990185656820477,0.010058909763678694
62,2014-09-26,2024-05-23,2024-08-20,EGARCH,SPX,0.008307322589294423,0.012084179823444287
63,2014-12-24,2024-08-20,2024-11-15,EGARCH,SPX,0.008468926081358342,0.010604608269749093
64,2015-03-23,2024-11-15,2025-02-12,EGARCH,SPX,0.008582838042222107,0.011069254451826537
65,2015-06-18,2025-02-12,2025-05-12,EGARCH,SPX,0.019639434311900426,0.026142087328933725
66,2015-09-15,2025-05-12,2025-08-07,EGARCH,SPX,0.006574676060519329,0.008342917653405947
